Series ID,Year,Period,Label,Value,12-Month % Change
CUSR0000SA0,1978,M08,1978 Aug,65.90,7.9
CUSR0000SA0,1978,M09,1978 Sep,66.50,8.5
CUSR0000SA0,1978,M10,1978 Oct,67.10,8.9
CUSR0000SA0,1978,M11,1978 Nov,67.50,8.9
CUSR0000SA0,1978,M12,1978 Dec,67.90,9.0
CUSR0000SA0,1979,M01,1979 Jan,68.50,9.3
CUSR0000SA0,1979,M02,1979 Feb,69.20,9.8
CUSR0000SA0,1979,M03,1979 Mar,69.90,10.3
CUSR0000SA0,1979,M04,1979 Apr,70.60,10.5
CUSR0000SA0,1979,M05,1979 May,71.40,10.7
CUSR0000SA0,1979,M06,1979 Jun,72.20,11.1
CUSR0000SA0,1979,M07,1979 Jul,73.00,11.5
CUSR0000SA0,1979,M08,1979 Aug,73.70,11.8
CUSR0000SA0,1979,M09,1979 Sep,74.40,11.9
CUSR0000SA0,1979,M10,1979 Oct,75.20,12.1
CUSR0000SA0,1979,M11,1979 Nov,76.00,12.6
CUSR0000SA0,1979,M12,1979 Dec,76.90,13.3
CUSR0000SA0,1980,M01,1980 Jan,78.00,13.9
CUSR0000SA0,1980,M02,1980 Feb,79.00,14.2
CUSR0000SA0,1980,M03,1980 Mar,80.10,14.6
CUSR0000SA0,1980,M04,1980 Apr,80.90,14.6
CUSR0000SA0,1980,M05,1980 May,81.70,14.4
CUSR0000SA0,1980,M06,1980 Jun,82.50,14.3
CUSR0000SA0,1980,M07,1980 Jul,82.60,13.2
CUSR0000SA0,1980,M08,1980 Aug,83.20,12.9
CUSR0000SA0,1980,M09,1980 Sep,83.90,12.8
CUSR0000SA0,1980,M10,1980 Oct,84.70,12.6
CUSR0000SA0,1980,M11,1980 Nov,85.60,12.6
CUSR0000SA0,1980,M12,1980 Dec,86.40,12.4
CUSR0000SA0,1981,M01,1981 Jan,87.20,11.8
CUSR0000SA0,1981,M02,1981 Feb,88.00,11.4
CUSR0000SA0,1981,M03,1981 Mar,88.60,10.6
CUSR0000SA0,1981,M04,1981 Apr,89.10,10.1
CUSR0000SA0,1981,M05,1981 May,89.70,9.8
CUSR0000SA0,1981,M06,1981 Jun,90.50,9.7
CUSR0000SA0,1981,M07,1981 Jul,91.50,10.8
CUSR0000SA0,1981,M08,1981 Aug,92.20,10.8
CUSR0000SA0,1981,M09,1981 Sep,93.10,11.0
CUSR0000SA0,1981,M10,1981 Oct,93.40,10.3
CUSR0000SA0,1981,M11,1981 Nov,93.80,9.6
CUSR0000SA0,1981,M12,1981 Dec,94.10,8.9
CUSR0000SA0,1982,M01,1982 Jan,94.40,8.3
CUSR0000SA0,1982,M02,1982 Feb,94.70,7.6
CUSR0000SA0,1982,M03,1982 Mar,94.70,6.9
CUSR0000SA0,1982,M04,1982 Apr,95.00,6.6
CUSR0000SA0,1982,M05,1982 May,95.90,6.9
CUSR0000SA0,1982,M06,1982 Jun,97.00,7.2
CUSR0000SA0,1982,M07,1982 Jul,97.50,6.6
CUSR0000SA0,1982,M08,1982 Aug,97.70,6.0
CUSR0000SA0,1982,M09,1982 Sep,97.70,4.9
CUSR0000SA0,1982,M10,1982 Oct,98.10,5.0
CUSR0000SA0,1982,M11,1982 Nov,98.00,4.5
CUSR0000SA0,1982,M12,1982 Dec,97.70,3.8
CUSR0000SA0,1983,M01,1983 Jan,97.90,3.7
CUSR0000SA0,1983,M02,1983 Feb,98.00,3.5
CUSR0000SA0,1983,M03,1983 Mar,98.10,3.6
CUSR0000SA0,1983,M04,1983 Apr,98.80,4.0
CUSR0000SA0,1983,M05,1983 May,99.20,3.4
CUSR0000SA0,1983,M06,1983 Jun,99.40,2.5
CUSR0000SA0,1983,M07,1983 Jul,99.80,2.4
CUSR0000SA0,1983,M08,1983 Aug,100.10,2.5
CUSR0000SA0,1983,M09,1983 Sep,100.40,2.8
CUSR0000SA0,1983,M10,1983 Oct,100.80,2.8
CUSR0000SA0,1983,M11,1983 Nov,101.10,3.2
CUSR0000SA0,1983,M12,1983 Dec,101.40,3.8
CUSR0000SA0,1984,M01,1984 Jan,102.10,4.3
CUSR0000SA0,1984,M02,1984 Feb,102.60,4.7
CUSR0000SA0,1984,M03,1984 Mar,102.90,4.9
CUSR0000SA0,1984,M04,1984 Apr,103.30,4.6
